country,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
Slovakia,-1.0632132262391674,-0.5937462582535497,-1.519435167202758,-1.4019852431986242,1.506091939448529,0.05529506013626859,0.013740944805439715,-5.9217937677464875e-05,5.007634791529899e-06,7.456836519083194e-17
Slovenia,-1.622547266736234,-0.9903207336115349,-0.5442464064255441,-1.0574731637832826,1.5084432130975742,0.26859603668499854,0.10367898397622513,3.4535320494682416e-05,2.0862606526028144e-05,1.313263012729688e-16
South Africa,1.2324378920240564,-1.1945607204465374,-2.6172090228852993,2.697987438872676,0.26228424433407915,0.5453189419443557,0.006156895964596569,1.005898117074545e-05,-2.1894238340994446e-05,8.040995270814317e-17
South Korea,-0.11750409706489817,0.39645482303443985,-0.41772107071314796,0.5717064411342914,1.7330055399891189,0.303009844296909,0.23570520429748626,4.043303368234688e-05,2.308537102098009e-05,1.9116853653630304e-16
Spain,-0.9301722397324246,-0.6573371384993033,0.5068560758176928,-0.8953319584694803,0.3068472224747972,0.11613753085531359,-0.04966067057767169,2.9669433653591335e-06,-3.253635500557701e-05,6.651214231718679e-17
Sri Lanka,-0.16211939057432262,-2.3832714998149918,1.0618077529063867,0.39736553780610606,-0.3782482663436938,0.2734275856859046,-0.18884463643978633,-1.023908172950746e-05,2.8772925517943492e-05,1.1078831422890242e-16
Sweden,-5.6918475796652865,-0.353132394896635,-0.8374781312530978,-1.2995276284953066,0.3878676234123319,-0.013293092402531273,-0.4045995349303115,2.968136869926784e-05,2.0959327251976057e-05,5.198001112705926e-17
Switzerland,-3.030524094107041,-1.1367706359790566,-0.1722017294384852,-1.7382142367205198,0.8343558276652201,-0.2798783773762121,-0.1552022553395682,4.058553119266567e-05,-1.2061365026636503e-05,-5.585614271701109e-17
Taiwan,0.6539822695752668,-0.011177088390196368,-0.48863037959617883,1.3009205685068856,0.9802347682259286,-0.5874917588430956,0.4168074400006315,1.5451516752022728e-07,2.5261189511400566e-06,6.651164081316876e-17
Thailand,1.4615686311083758,-0.48444876044905,0.3422118036749966,0.024655633765252444,-0.2518051959267173,0.16751314571890416,0.189771025899396,8.847125722949926e-06,-2.8972090156880378e-05,-1.1575579652147415e-16
Trinidad and Tobago,2.0805225869799036,5.045672346648243,-1.6571993607749627,-0.5381168656635494,-0.7728180757666268,1.1365440005096725,-0.7060948119919906,-1.559488397329413e-07,2.7517241321822596e-05,-1.733911187515947e-16
Turkey,0.31465689684740034,-0.8580616462442463,-0.5022282607147186,0.4196955630382007,-0.6707758954439058,-0.5198765619549746,-0.1317047237266891,3.845418401165523e-07,-6.741116555012578e-08,-9.800483065107871e-17
Turkmenistan,2.316616215001443,3.980768565201342,-1.492128062691461,-0.78387581548929,-1.1177239596921942,2.105991636817058,-0.10257074022258687,1.311866803793602e-05,-2.433855271354391e-05,1.0676144479899405e-16
Ukraine,-0.9608685819288675,-0.3587189982195432,-2.6902353760817213,-1.7126290325775515,1.2744659609974713,0.7464657561694322,0.13886258120278122,4.250753173683052e-05,-5.5413708472331134e-06,-4.7083430808120104e-17
United Arab Emirates,0.8916372348286655,2.6508711748805007,0.9037196242780353,0.3514587883463092,1.3549513030173979,-0.6669059255747205,-0.3192609932623726,-4.35626151346008e-06,2.0661163515463706e-05,-8.209441191262844e-17
United Kingdom,-0.28834836146169035,-0.39210715594826023,0.1554105529028082,-0.9948215663104945,-0.2601892962768214,-0.5272321431967294,-0.06269790329514721,-2.6274156163560744e-06,-3.2092580881787006e-06,-2.1230456861390412e-16
United States,-0.22847133576079806,0.9657930322130654,0.08944147854829917,0.04017779187773053,0.9056723173451282,-0.4677406767130534,0.08824131183183295,-1.403954251964603e-06,-2.41316350414994e-06,2.116123895855954e-16
Uzbekistan,2.3255513308897036,1.268040603852253,-1.4318070790370478,-1.3554797115075812,-1.366439370307652,-1.070342601641771,0.2673826352129318,3.7165847431453084e-06,6.682482653209598e-07,-5.885667901782457e-17
Venezuela,-0.30028488581600915,1.988453818816309,-0.9474581579710404,-0.7374185176283725,-1.9717277274733334,2.5698527220110385,0.03269998898679216,-1.1073979800488266e-06,1.1281980432709942e-05,4.314172315440824e-16
Vietnam,-0.4947403495887156,-1.3103014913741942,-1.360318594194031,1.3381048309589558,-0.9201902487342055,0.4668354278890939,-0.259274513954481,7.152642893085445e-06,-2.4794873382800713e-05,1.680557873566334e-16
